"","speciesKey","species","endem_class","perc_zt","n","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","synonym","class","label"
"364",3110183,"Gongylolepis martiana","[0,0.05)",0,109,3110183,"Gongylolepis martiana (Baker) Steyerm. & Cuatrec.","Gongylolepis martiana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Gongylolepis",6,7707728,220,414,3065,3110181,FALSE,"Magnoliopsida","Gongylolepis_martiana"
"365",3110189,"Gongylolepis benthamiana","[0,0.05)",0,49,3110189,"Gongylolepis benthamiana R.H.Schomb.","Gongylolepis benthamiana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Gongylolepis",6,7707728,220,414,3065,3110181,FALSE,"Magnoliopsida","Gongylolepis_benthamiana"
"366",3110254,"Noticastrum marginatum","[0.5,0.99)",0.83448275862069,290,3110254,"Noticastrum marginatum (Kunth) Cuatrec.","Noticastrum marginatum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Noticastrum",6,7707728,220,414,3065,3110209,FALSE,"Magnoliopsida","Noticastrum_marginatum"
"367",3110293,"Facelis retusa","[0,0.05)",0.0177261613691932,1636,3110293,"Facelis retusa (Lam.) Sch.Bip.","Facelis retusa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Facelis",6,7707728,220,414,3065,3110292,FALSE,"Magnoliopsida","Facelis_retusa"
"368",3110459,"Vernonanthura auriculata","[0.1,0.5)",0.25,4,3110459,"Vernonanthura auriculata (Griseb.) H.Rob.","Vernonanthura auriculata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Vernonanthura",6,7707728,220,414,3065,3110435,FALSE,"Magnoliopsida","Vernonanthura_auriculata"
"369",3110686,"Ambrosia psilostachya","[0,0.05)",0.000160823415889353,12436,3110686,"Ambrosia psilostachya DC.","Ambrosia psilostachya","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Ambrosia",6,7707728,220,414,3065,3110576,FALSE,"Magnoliopsida","Ambrosia_psilostachya"
"370",3111182,"Pentacalia arborea","[0.5,0.99)",0.916666666666667,24,3111182,"Pentacalia arborea (Kunth) H.Rob. & Cuatrec.","Pentacalia arborea","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Pentacalia",6,7707728,220,414,3065,8368631,FALSE,"Magnoliopsida","Pentacalia_arborea"
"371",3111211,"Pentacalia trianae","[0.5,0.99)",0.892857142857143,84,3111211,"Pentacalia trianae (Klatt) Cuatrec.","Pentacalia trianae","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Pentacalia",6,7707728,220,414,3065,8368631,FALSE,"Magnoliopsida","Pentacalia_trianae"
"372",3111221,"Monticalia vaccinioides","[0.5,0.99)",0.981203007518797,532,3111221,"Monticalia vaccinioides (Kunth) C.Jeffrey","Monticalia vaccinioides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Monticalia",6,7707728,220,414,3065,3092548,FALSE,"Magnoliopsida","Monticalia_vaccinioides"
"373",3111228,"Monticalia flocculidens","[0.99,1]",1,7,3111228,"Monticalia flocculidens (Sch.Bip. ex Wedd.) C.Jeffrey","Monticalia flocculidens","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Monticalia",6,7707728,220,414,3065,3092548,FALSE,"Magnoliopsida","Monticalia_flocculidens"
"374",3111342,"Monticalia greenmaniana","[0.5,0.99)",0.818181818181818,11,3111342,"Monticalia greenmaniana (Hieron.) C.Jeffrey","Monticalia greenmaniana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Monticalia",6,7707728,220,414,3065,3092548,FALSE,"Magnoliopsida","Monticalia_greenmaniana"
"375",3111526,"Monticalia abietina","[0.5,0.99)",0.989189189189189,185,3111526,"Monticalia abietina (Willd. ex Wedd.) C.Jeffrey","Monticalia abietina","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Monticalia",6,7707728,220,414,3065,3092548,FALSE,"Magnoliopsida","Monticalia_abietina"
"376",3111603,"Leptostelma maxima","[0,0.05)",0,506,3111603,"Leptostelma maxima D.Don","Leptostelma maxima","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Leptostelma",6,7707728,220,414,3065,3111590,FALSE,"Magnoliopsida","Leptostelma_maxima"
"377",3111622,"Bahianthus viscosus","[0,0.05)",0,192,3111622,"Bahianthus viscosus (Spreng.) R.M.King & H.Rob.","Bahianthus viscosus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Bahianthus",6,7707728,220,414,3065,3111621,FALSE,"Magnoliopsida","Bahianthus_viscosus"
"378",3112110,"Cotula coronopifolia","[0,0.05)",0.00908614363096278,11446,3112110,"Cotula coronopifolia L.","Cotula coronopifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Cotula",6,7707728,220,414,3065,3112068,FALSE,"Magnoliopsida","Cotula_coronopifolia"
"379",3112187,"Gypothamnium pinifolium","[0.1,0.5)",0.2,250,3112187,"Gypothamnium pinifolium Phil.","Gypothamnium pinifolium","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Gypothamnium",6,7707728,220,414,3065,3112186,FALSE,"Magnoliopsida","Gypothamnium_pinifolium"
"380",3112364,"Cynara cardunculus","[0,0.05)",0.00360432519022827,7491,3112364,"Cynara cardunculus L.","Cynara cardunculus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Cynara",6,7707728,220,414,3065,3112344,FALSE,"Magnoliopsida","Cynara_cardunculus"
"381",3112466,"Gazania krebsiana","[0,0.05)",0.000795544948289578,1257,3112466,"Gazania krebsiana Less.","Gazania krebsiana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Gazania",6,7707728,220,414,3065,3112454,FALSE,"Magnoliopsida","Gazania_krebsiana"
"382",3112476,"Gazania pectinata","[0,0.05)",0.00346020761245675,289,3112476,"Gazania pectinata (Thunb.) Hartw.","Gazania pectinata","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Gazania",6,7707728,220,414,3065,3112454,FALSE,"Magnoliopsida","Gazania_pectinata"
"383",3112491,"Gazania linearis","[0,0.05)",0.0199275362318841,1104,3112491,"Gazania linearis (Thunb.) Druce","Gazania linearis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Gazania",6,7707728,220,414,3065,3112454,FALSE,"Magnoliopsida","Gazania_linearis"
"384",3112801,"Cirsium vulgare","[0,0.05)",0.00310665481846361,285838,3112801,"Cirsium vulgare (Savi) Ten.","Cirsium vulgare","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Cirsium",6,7707728,220,414,3065,3112554,FALSE,"Magnoliopsida","Cirsium_vulgare"
"385",3114151,"Sinosenecio oldhamianus","[0,0.05)",0,461,3114151,"Sinosenecio oldhamianus (Maxim.) B.Nord.","Sinosenecio oldhamianus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Sinosenecio",6,7707728,220,414,3065,3114135,FALSE,"Magnoliopsida","Sinosenecio_oldhamianus"
"386",3114266,"Rolandra fruticosa","[0,0.05)",0.0162790697674419,430,3114266,"Rolandra fruticosa (L.) Kuntze","Rolandra fruticosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Rolandra",6,7707728,220,414,3065,3114265,FALSE,"Magnoliopsida","Rolandra_fruticosa"
"387",3114381,"Heterosperma diversifolium","[0.5,0.99)",0.840909090909091,44,3114381,"Heterosperma diversifolium Kunth","Heterosperma diversifolium","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Heterosperma",6,7707728,220,414,3065,3114380,FALSE,"Magnoliopsida","Heterosperma_diversifolium"
"388",3114386,"Heterosperma pinnatum","[0,0.05)",0.00384862091084028,1559,3114386,"Heterosperma pinnatum Cav.","Heterosperma pinnatum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Heterosperma",6,7707728,220,414,3065,3114380,FALSE,"Magnoliopsida","Heterosperma_pinnatum"
"389",3114627,"Carduus tenuiflorus","[0,0.05)",0.000714881448826403,8393,3114627,"Carduus tenuiflorus Curtis","Carduus tenuiflorus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Carduus",6,7707728,220,414,3065,3114511,FALSE,"Magnoliopsida","Carduus_tenuiflorus"
"390",3114643,"Carduus acanthoides","[0,0.05)",0.00065829451083654,19748,3114643,"Carduus acanthoides L.","Carduus acanthoides","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Carduus",6,7707728,220,414,3065,3114511,FALSE,"Magnoliopsida","Carduus_acanthoides"
"391",3114667,"Carduus pycnocephalus","[0,0.05)",0.00170454545454545,15840,3114667,"Carduus pycnocephalus L.","Carduus pycnocephalus","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Carduus",6,7707728,220,414,3065,3114511,FALSE,"Magnoliopsida","Carduus_pycnocephalus"
"392",3114850,"Gymnosperma glutinosum","[0,0.05)",0.000408163265306122,2450,3114850,"Gymnosperma glutinosum (Spreng.) Less.","Gymnosperma glutinosum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Gymnosperma",6,7707728,220,414,3065,3114849,FALSE,"Magnoliopsida","Gymnosperma_glutinosum"
"393",3114905,"Tessaria absinthioides","[0.1,0.5)",0.466206896551724,725,3114905,"Tessaria absinthioides (Hook. & Arn.) DC.","Tessaria absinthioides","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Tessaria",6,7707728,220,414,3065,3114904,FALSE,"Magnoliopsida","Tessaria_absinthioides"
"394",3114910,"Tessaria integrifolia","[0.1,0.5)",0.306498545101843,1031,3114910,"Tessaria integrifolia Ruiz & Pav.","Tessaria integrifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Tessaria",6,7707728,220,414,3065,3114904,FALSE,"Magnoliopsida","Tessaria_integrifolia"
"395",3114917,"Tessaria fastigiata","[0.5,0.99)",0.703125,192,3114917,"Tessaria fastigiata (Griseb.) Cabrera","Tessaria fastigiata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Tessaria",6,7707728,220,414,3065,3114904,FALSE,"Magnoliopsida","Tessaria_fastigiata"
"396",3114978,"Arctotheca prostrata","[0,0.05)",0,1108,3114978,"Arctotheca prostrata (Salisb.) Britten","Arctotheca prostrata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Arctotheca",6,7707728,220,414,3065,3114963,FALSE,"Magnoliopsida","Arctotheca_prostrata"
"397",3114986,"Arctotheca calendula","[0,0.05)",0,12984,3114986,"Arctotheca calendula (L.) Levyns","Arctotheca calendula","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Arctotheca",6,7707728,220,414,3065,3114963,FALSE,"Magnoliopsida","Arctotheca_calendula"
"398",3115443,"Crassocephalum crepidioides","[0,0.05)",0.00161442217139782,7433,3115443,"Crassocephalum crepidioides (Benth.) S.Moore","Crassocephalum crepidioides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Crassocephalum",6,7707728,220,414,3065,3115401,FALSE,"Magnoliopsida","Crassocephalum_crepidioides"
"399",3115875,"Filago arvensis","[0,0.05)",0,14457,3115875,"Filago arvensis L.","Filago arvensis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Filago",6,7707728,220,414,3065,3115745,FALSE,"Magnoliopsida","Filago_arvensis"
